nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
PROCYON CANCRIVORUS,Procyon cancrivorus,Procyon cancrivorus G,9518324.0,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,ACCEPTED,99,LC
DIPSAS SP.,Dipsas sp.,Animalia,1.0,Animalia,,,,,,ACCEPTED,92,NE
DENDROPHIDION NECHALE,Dendrophidion nechale,"Dendrophidion nuchale (Peters, 1863)",2452595.0,Animalia,Chordata,Squamata,,Colubridae,Dendrophidion,ACCEPTED,95,LC
DENDROBATES HISTRIONICUS,Dendrobates histrionicus,"Dendrobates histrionicus Berthold, 1845",5218056.0,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,SYNONYM,98,CR
ANISOGNATHUS FLAVINUCHA,Anisognathus flavinucha,"Anisognathus flavinucha (d'Orbigny & Lafresnaye, 1837)",5788712.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,SYNONYM,98,LC
FRINGILLIDAE,Fringillidae,,,,,,,,,,0,
KINOSTERNUM LEUCOSTONUM,Kinosternum leucostonum,"Kinosternum Bonaparte, 1830",2442493.0,Animalia,Chordata,Testudines,,Kinosternidae,Kinosternon,SYNONYM,94,
ICTERUS NIGROGULARIS,Icterus nigrogularis,"Icterus nigrogularis (Hahn, 1819)",5229939.0,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,ACCEPTED,99,LC
FREDIUS,Fredius,,,,,,,,,,0,
MELANERPES SP,Melanerpes sp,"Melanerpes Swainson, 1832",2478067.0,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,ACCEPTED,94,NE
GARZA BLANCA,Garza blanca,,,,,,,,,,0,
CEBUELLA PYGMAEA,Cebuella pygmaea,"Cebuella pygmaea (Spix, 1823)",4827382.0,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Cebuella,ACCEPTED,99,VU
TANGARA CYANICOLLIS,Tangara cyanicollis,"Tangara cyanicollis (d'Orbigny & Lafresnaye, 1837)",2488125.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stilpnia,SYNONYM,98,LC
EIRA BARBARA,Eira barbara,"Eira barbara (Linnaeus, 1758)",2433716.0,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Eira,ACCEPTED,99,LC
TANGARA GYROLA,Tangara gyrola,"Tangara gyrola (Linnaeus, 1758)",2488114.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,ACCEPTED,99,LC
MAZAMA AMERICANA,Mazama americana,"Mazama americana (Erxleben, 1777)",5220123.0,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,ACCEPTED,99,DD
LEPIDOTHRIX CORONATA,Lepidothrix coronata,"Lepidothrix coronata (Spix, 1825)",5230528.0,Animalia,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix,ACCEPTED,99,LC
CYANOCORAX AFFINIS,Cyanocorax affinis,"Cyanocorax affinis Pelzeln, 1856",2482559.0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,ACCEPTED,99,LC
RAMPHOCELUS FLAMMIGERUS,Ramphocelus flammigerus,"Ramphocelus flammigerus (Jardine & Selby, 1833)",2488439.0,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Ramphocelus,ACCEPTED,99,LC
ODOCOILEUS VIRGINIANUS,Odocoileus virginianus,"Odocoileus virginianus (Zimmermann, 1780)",2440965.0,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,ACCEPTED,99,LC
COLUMBA LIVIA,Columba livia,"Columba livia J.F.Gmelin, 1789",2495414.0,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,ACCEPTED,99,LC
