especie_key,tipo_especie,nombre_comun,nombre_cientifico,categoria_iucn,categoria_iucn_label,es_amenazada
497,AVES,PERICO,FORPUS CONSPICILLATUS,NE,No evaluada,False
498,MAMIFEROS,PEREZOSO DE DOS DEDOS,CHOLOEPUS HOFFMANNI,NE,No evaluada,False
499,MAMIFEROS,GUATIN,DASYPROCTA PUNCTATA,NE,No evaluada,False
500,AVES,CARISUCIO,EUPSITTULA PERTINAX,NE,No evaluada,False
501,AVES,AGUILA DE COLA BLANCA,GERANOAETUS ALBICAUDATUS,NE,No evaluada,False
502,AVES,LORA FRENTI AMARILLA,AMAZONA OCHROCEPHALA,NE,No evaluada,False
503,REPTILES,SERPIENTE CARACOLERA,SIBON NEBULATUS,NE,No evaluada,False
504,REPTILES,MONO NOCTURNO,AOTUS SP,NE,No evaluada,False
505,MAMIFEROS,ERIZO,COENDOU RUFESCENS,NE,No evaluada,False
506,AVES,PERICO CASCABELITO,FORPUS CONSPICILLATUS,NE,No evaluada,False
507,AVES,GUACAMAYA ENANA,ARA SEVERUS,NE,No evaluada,False
508,AVES,ARDILLA,SCIURUS GRANATENSIS,NE,No evaluada,False
509,MAMIFEROS,ARMADILLO,DASYPUS NOVEMCINCTUS,NE,No evaluada,False
510,AVES,AGUILA REAL DE MONTAÑA,SPIZAETUS ISIDORI,NE,No evaluada,False
511,AVES,MORROCOY,CHELONOIDIS CARBONARIA,NE,No evaluada,False
512,AVES,HICOTEA,TRACHEMYS CALLIROSTRIS,NE,No evaluada,False
513,AVES,PEZ BASA,PANGASIANODON HYPOPHTHALMUS,NE,No evaluada,False
514,AVES,PERIQUITO BRONCEADO,BROTOGERIS JUGULARIS,NE,No evaluada,False
515,MAMIFEROS,PEZ GATO,HEXANEMATICHTHYS SEEMANNI,NE,No evaluada,False
516,AVES,POLLA DE AGUA,PORPHYRIO MARTINICA,NE,No evaluada,False
517,MAMIFEROS,ARMADILLO DE 9 BANDAS,DASYPUS NOVEMCINCTUS,NE,No evaluada,False
518,AVES,GUACHARACA,ORTALIS COLUMBIANA,NE,No evaluada,False
519,AVES,CERNICALO,FALCO SPARVERIUS,NE,No evaluada,False
520,DESCONOCIDO,SIN DATOS,PENDIENTE ID,NE,No evaluada,False
521,AVES,TURPIAL AMARILLO,ICTERUS NIGROGULARIS,NE,No evaluada,False
522,AVES,COTORRA PECHIBLANCA,PIONITES MELANOCEPHALUS,NE,No evaluada,False
523,AVES,TURPIAL MONTAÑERO,ICTERUS CHRYSATER,NE,No evaluada,False
524,AVES,COTORRA CABECIAZUL,PIONUS MENTRUUS,NE,No evaluada,False
525,AVES,LORA CACHETIAMARILLA,AMAZONA AMAZONICA,NE,No evaluada,False
526,MAMIFEROS,MURCIELAGO,MOLOSSUS MOLOSSUS,NE,No evaluada,False
527,MAMIFEROS,ZORRO PERRO,CERDOCYON THOUS,NE,No evaluada,False
528,AVES,BICHOFUE,PITANGUS SULPHURATUS,NE,No evaluada,False
529,MAMIFEROS,PEREZOSO DE 2 DEDOS,CHOLOEPUS HOFFMANNI,NE,No evaluada,False
530,AVES,TUCANCITO ESMERALDA,AULACORHYNCHUS HAEMATOPYGUS,NE,No evaluada,False
531,AVES,TAPACULO,KINOSTERNON LEUCOSTOMUM,NE,No evaluada,False
532,AVES,BOA,BOA CONSTRICTOR,NE,No evaluada,False
533,AVES,GARZA PATIAMARILLA,EGRETTA THULA,NE,No evaluada,False
534,AVES,GUACAMAYA ROJA,ARA CHLOROPTERUS,NE,No evaluada,False
535,REPTILES,TORTUGA TAPACULO,KINOSTERNON LEUCOSTOMUM,NE,No evaluada,False
536,REPTILES,TORTUGA ICOTEA,TRACHEMYS CALLIROSTRIS,NE,No evaluada,False
537,MOLUSCOS,CARACOL MANZANA,POMACEA CANALICULATA,NE,No evaluada,False
538,ARACNIDOS,TARANTULA,BRACHYPELMA SMITHI,NE,No evaluada,False
539,AVES,LECHUZA,TYTO ALBA,NE,No evaluada,False
540,REPTILES,CAZADRA NEGRA,CLELIA CLELIA,NE,No evaluada,False
541,AVES,COLIBRI,AMAZILIA TZACATL,NE,No evaluada,False
542,MAMIFEROS,ARDILLA,NOTROSCIURUS GRANATENSIS,NE,No evaluada,False
543,ANFIBIOS,RANA,DENDROPSOPHUS COLUMBIANUS,NE,No evaluada,False
544,REPTILES,CAZADORA,CHIRONIUS MONTICOLA,NE,No evaluada,False
545,MAMIFEROS,GUAGUA,CUNICULUS PACA,NE,No evaluada,False
546,AVES,GAVILAN CAMINERO,MILVAGO CHIMACHIMA,NE,No evaluada,False
547,AVES,TOCHE,SPILOTES PULLATUS,NE,No evaluada,False
548,AVES,MORROCY,CHELONOIDIS CARBONARIA,NE,No evaluada,False
549,AVES,CORMORAN,PHALACRCORAX BRASILIANUS,NE,No evaluada,False
550,AVES,ARDILLA,NOTOSCIURUS GRANATENSIS,NE,No evaluada,False
551,REPTILES,ALACRANERA,STENORRHINA DEGENHARDTII,NE,No evaluada,False
552,AVES,PERIQUITO CACABELITO,FORPUS CONSPICILLATUS,NE,No evaluada,False
553,MAMIFEROS,CUSUMBO,NASUELLA OLIVACEA,NE,No evaluada,False
554,AVES,BUHO CURRUCUTU,MEGASCOPS CHOLIBA,NE,No evaluada,False
555,ANFIBIOS,AJOLOTE,AMBYSTOMA MEXICANUM,NE,No evaluada,False
556,REPTILES,MORROCY,CHELONOIDIS CARBONARIA,NE,No evaluada,False
557,AVES,COLIBRI,ANTHRACOTHORAX NIGRICOLLIS,NE,No evaluada,False
558,MAMIFEROS,ARDILLA,SCIURUS GRANATENSIS,NE,No evaluada,False
559,AVES,LORA CABECIAZUL,PIONUS MENSTRUUS RUBRIGULARIS,NE,No evaluada,False
560,MAMIFEROS,MONO AULLADOR,ALOUATTA SENICULUS,NE,No evaluada,False
561,AVES,GALLITO DE ROCA,RUPICOLA PERUVIANA,NE,No evaluada,False
562,MAMIFEROS,YAGUARUNDI,PUMA YAGOUAROUNDI,NE,No evaluada,False
563,AVES,AGUILA BLANQUINEGRA,SPIZAETUS MELANOLEUCUS,NE,No evaluada,False
564,REPTILES,TORTUGA CHARAPA,PODOCNEMIS UNIFILIS,NE,No evaluada,False
565,AVES,PERICO BRONCEADO,PSITTACARA WAGLERI,NE,No evaluada,False
566,MAMIFEROS,MONO CARIBLANCO,CEBUS ALBIFRONS,NE,No evaluada,False
567,AVES,COTORRA NEGRA,PIONUS CHALCOPTERUS,NE,No evaluada,False
568,AVES,PERICO CARISUCIO,EUPSITTULLA PERTINAX,NE,No evaluada,False
569,REPTILES,FALSA CORAL,OXYRHOPUS PETOLA,NE,No evaluada,False
570,AVES,COLUMBINA TALPACOTI,COLUMBINA TALPACOTI,NE,No evaluada,False
571,AVES,COTORRA CABECIAZUL,PIONUS MENSTRUUS RUBRIGULARIS,NE,No evaluada,False
572,AVES,AGUILA PESCADORA,PANDION HALIAETUS,NE,No evaluada,False
573,MAMIFEROS,PERRO DE MONTE,POTOS FLAVUS,NE,No evaluada,False
574,AVES,CUCO AMERICANO,COCCYZUS AMERICANUS,NE,No evaluada,False
575,MAMIFEROS,MUERCIELAGO,MOLOSSUS MOLOSSUS,NE,No evaluada,False
576,MAMIFEROS,MONO ARAÑA,ATELES SP.,NE,No evaluada,False
577,MAMIFEROS,TITI PANAMEÑO,SAGUINUS GEOFFROYI,NE,No evaluada,False
578,AVES,GARCITA ESTRIADA,BUTERIDES STRIATA,NE,No evaluada,False
579,AVES,GOLONDRINA,OROCHELIDON MURINA,NE,No evaluada,False
580,AVES,PELLAR,VANELLUS CHILENSIS,NE,No evaluada,False
581,MAMIFEROS,PUERCOESPIN,COENDOU RUFESCENS,NE,No evaluada,False
582,REPTILES,VERDADERA CORAL,MICRURUS MIPARTITUS,NE,No evaluada,False
583,AVES,CAZADORA,CHIRONIUS MONTICOLA,NE,No evaluada,False
584,REPTILES,SERPIENTE PAJARERA,PHRYNONAX,NE,No evaluada,False
585,MAMIFEROS,COMADREJA,MUSTELA FRENATA,NE,No evaluada,False
586,MAMIFEROS,CHIGUIRO,HYDROCHOERUS HYDROCHAERIS,NE,No evaluada,False
587,AVES,COTORRA CARATEJA,PIONUS TUMULTUOSUS,NE,No evaluada,False
588,AVES,CORMORÁN,PHALACROCORAX BRASILIANUS,NE,No evaluada,False
589,MAMIFEROS,GUATÍN,DASYPROCTA PUNCTATA,NE,No evaluada,False
590,REPTILES,GRANADILLA,SPILOTES PULLATUS,NE,No evaluada,False
591,REPTILES,RESOPLONA,PHRYNONAX POECILONOTUS,NE,No evaluada,False
592,AVES,COTORRA FRENTIRROJA,PSITTACARA WAGLERI,NE,No evaluada,False
593,AVES,GUACAMAYA CARISECA,ARA SEVERUS,NE,No evaluada,False
594,MAMIFEROS,MONO ARAÑA CAFÉ,ATELES HYBRIDUS,NE,No evaluada,False
595,MAMIFEROS,MONO ARAÑA CABECINEGRO,ATELES FUSCICEPS,NE,No evaluada,False
596,AVES,LORO CARISUCIO,EUPSITTULA PERTINAX,NE,No evaluada,False
597,REPTILES,MORROCOY,CHELONOIDIS CARBONARIA,NE,No evaluada,False
598,AVES,SINSONTE,MIMUS GILVUS,NE,No evaluada,False
599,AVES,CARRIQUÍ PECHIBLANCO,CYANOCORAX AFFINIS,NE,No evaluada,False
600,AVES,CURRUCUTÚ,LECHUZA,NE,No evaluada,False
601,MAMIFEROS,OCELOTE,LEOPARDUS PARDALIS,NE,No evaluada,False
602,AVES,ALCARAVÁN,VANELLUS CHILENSIS,NE,No evaluada,False
603,AVES,BIEN PARADO,NYCTIBIUS GRISEUS,NE,No evaluada,False
604,MAMIFEROS,CAPUCHINO,CEBUS CAPUCCINUS,NE,No evaluada,False
605,AVES,GOLONDRINA,PYGOCHELIDON CYANOLEUCA,NE,No evaluada,False
606,MAMIFEROS,TAPACULOS,KINOSTERNON LEUCOSTOMUM,NE,No evaluada,False
607,AVES,CARDENAL,PYROCEPHALUS RUBINUS,NE,No evaluada,False
608,AVES,LORA CABECIAZUL,PIONUS MESTRUUS,NE,No evaluada,False
609,AVES,TAPACULOS,KINOSTERNON LEUCOSTOMUM,NE,No evaluada,False
610,AVES,AZOR DIMINUTO,ACCIPITER SUPERCILIOSUS,NE,No evaluada,False
611,AVES,HALCON PLOMADO,FALCO FEMORALIS,NE,No evaluada,False
612,AVES,AGUILA ARPIA,HARPIA HARPYJA,NE,No evaluada,False
613,AVES,TUCANETA RABI ROJO,AULACORHYNCHUS HAEMATOPYGUS,NE,No evaluada,False
614,AVES,POLLA DE AGUA,MUSTELIRALLUS SP,NE,No evaluada,False
615,AVES,AGUILA CRESTADA,SPIZAETUS ISIDORI,NE,No evaluada,False
616,AVES,LORA CABECIAZUL,PIONUS MENTRUUS RUBRIGULARES,NE,No evaluada,False
617,AVES,LORA CABECIAZUL,PIONUS MESNSTRUUS RUBRIGULARIS,NE,No evaluada,False
618,REPTILES,FALSA CORAL,OXHRYOPUS PETALARIUS,NE,No evaluada,False
619,AVES,TUCAN,AULACORHYNCHUS HAEMATOPYGUS,NE,No evaluada,False
620,AVES,LORE CACHETIAMARILLA,AMAZONA AMAZONICA,NE,No evaluada,False
621,REPTILES,ICOTEA,TRACHEMYS CALLIROSTRIS,NE,No evaluada,False
622,REPTILES,CHARAPA,PODOCNEMIS UNIFILIS,NE,No evaluada,False
623,MOLUSCOS,LANGOSTAS,CHERAX SP.,NE,No evaluada,False
624,AVES,SEMILLERO,SPINUS SP.,NE,No evaluada,False
625,AVES,LORA FRENTIROJA,AMAZONA AUTUMNALIS,NE,No evaluada,False
626,MAMIFEROS,PEREZOSO 2 DEDOS,CHOLOEPUS HOFFMANNI,NE,No evaluada,False
627,MAMIFEROS,MURCIELAGO,ARTIBEUS LITURATUS,NE,No evaluada,False
628,AVES,TUCAN ESMERALDA,AULACORHYNCHUS HAEMATOPYGUS,NE,No evaluada,False
629,MAMIFEROS,MARMOSA,PENDIENTE,NE,No evaluada,False
